School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Arizona Collegiate High School,Phoenix,yes,Yes,Yes,30,30,"18,400",338,5%,8%,2%,85%,0%,0%,31.8,Public
Arizona Conservatory for Arts and Academics,Phoenix,yes,Yes,Yes,27,42,"16,134",284,68%,8%,2%,19%,1%,0%,24.9,Public
Arizona Cultural Academy & College Prep,Phoenix,yes,Yes,Yes,25,25,"1,775",16,40%,27%,0%,4%,27%,0%,28,Public
Arizona Insight Academy,Phoenix,yes,Yes,Yes,16,23,"7,062",143,65%,6%,3%,20%,0%,0%,32.6,Public
Brightmont Academy,Scottsdale,Yes,Yes,Yes,,,7053,70,86%,0%,0%,14%,0%,0%,,
Cactus Shadows High School,Scottsdale,Yes,Yes,Yes,46%,49%,2512,90,88%,1%,0%,7%,3%,1%,23.1,Private
Chaparral High School,Scottsdale,Yes,Yes,Yes,35%,40,1378,47,82%,3%,1%,8%,6%,1%,24,Public
Coronado High School,Scottsdale,Yes,Yes,Yes,8%,12%,5699,131,25%,7%,8%,57%,1%,2%,27.4,Public
Desert Mountain High School,Scottsdale,Yes,Yes,Yes,47%,49%,1009,35,77%,3%,1%,8%,11%,1%,22.8,Private
West-mec - Cortez High School,Phoenix,Yes,Yes,Yes,64%,49%,"25,823",609,50%,50%,0%,0%,0%,0%,14.4,Private
West-mec - Greenway High School,Phoenix,Yes,Yes,No,69%,64%,,,0%,0%,0%,0%,0%,0%,,
West-mec - Moon Valley High School,Phoenix,No,No,No,74%,64%,"25,823",609,100%,0%,0%,0%,0%,0%,7.5,Public
West-mec - North Canyon High School,Phoenix,Yes,Yes,Yes,39%,39%,"25,423",576,50%,0%,17%,17%,0%,17%,25.9,Private
West-mec - Paradise Valley High School,Phoenix,No,No,No,40%,42%,"25,948",630,0%,0%,0%,0%,0%,100%,21.2,Private
Phoenix Union Bioscience High School,Phoenix,Yes,Yes,Yes,24,26,359,14,12.5,4,,71.1,8.2,4.3,,
Pillar Academy Online,Phoenix,No,No,Yes,,,Unranked,Unranked,18.2,,,81.8,,,,
Pinnacle High School,Phoenix,Yes,Yes,Yes,49,54,1998,27,74.9,1.8,0.2,13.6,4.3,5.4,10.8,Public
Premier Charter High School,Phoenix,No,No,Yes,78,63,,,0.7,4.1,,92.5,,2.8,,
Scottsdale Christian Academy,Phoenix,,No,,25,27,,,89.7,3.1,,3.6,1.9,1.7,,
Intelli School,Chandler,Yes,No,Yes,50,72,21252,431,16,4,4,65,1,5,16.4,Private
Kaizen Education Foundation Dba El Dorado High School,Chandler,Yes,Yes,No,22.4,23.4,19037,354,19,16,2,63,1,3,29.4,Public
Ken 'chief' Hill Learning Academy,Chandler,yes,No,No,23.4,24.5,,,,,,,,,,
